     Humira 10ul excl 3.raw  #26671  RT: 78.8342 min	
"     FTMS, 550.2559@hcd29.00, z=+5, Mono m/z=549.65643 Da, MH+=2744.25306 Da, Match Tol.=0.05 Da"	
m/z	Intensity [counts]
189.07619	1997
189.10182	10272
190.0605	6126
191.04845	84199
192.05098	5576
192.07632	4109
192.10153	2585
193.09546	3987
194.07811	2471
194.09343	4714
195.07625	13823
195.09232	2607
195.11266	7930
196.07239	3116
196.0903	8320
196.11005	3436
196.13091	1951
196.14465	19926
197.09109	2137
197.12852	25549
197.14519	3806
198.088	5830
198.13072	3235
199.07118	5030
199.59488	2995
200.13943	2540
201.12337	227597
202.08508	2461
202.12698	30176
203.12173	12220
204.077	2075
204.11307	42094
205.05943	3015
205.07785	1965
205.11588	3998
206.10072	1528
207.08815	10880
207.11279	106363
208.07352	2798
208.10707	18497
209.09195	14279
209.11087	3142
210.09135	1843
210.12383	3486
211.08586	7897
211.10722	101980
212.10985	10968
213.10275	3817
213.12186	4791
213.14034	4124
213.15921	12884
214.11952	3475
214.15486	26510
215.04596	2063
215.11557	22355
215.15791	3801
216.0975	2081
216.11723	3455
217.077	4279
217.09721	46159
218.05544	4533
218.10057	6299
219.14941	27397
219.59201	9055
220.07137	5624
220.12422	32876
220.15005	4345
220.61862	7143
221.07178	3263
221.10367	13753
221.12065	2467
222.08701	7872
222.10493	3055
222.12318	8470
223.07092	6256
223.15503	3401
224.04872	4238
224.11339	15382
224.13879	10180
225.10098	9295
225.12131	5139
226.08275	34530
226.11858	38250
227.08501	5416
227.12163	3545
228.1068	9995
228.13383	57475
228.60713	3159
229.11714	41637
229.13609	5948
230.07985	3555
230.11365	36184
231.11594	9242
232.07504	3028
232.14017	30291
233.05876	7773
233.09154	2445
233.14154	4681
233.5896	4489
234.09923	3173
234.12389	4654
235.08226	24372
235.10738	45634
236.11139	9960
237.09851	4048
237.12202	3003
238.08188	15882
238.11983	3021
239.0829	8165
239.11334	34380
239.14931	20807
240.09755	40897
240.13417	42515
240.15712	2724
241.11147	24264
241.13643	3979
242.05916	9753
242.10384	7807
242.14911	14573
242.60481	3186
243.14851	3620
244.09225	56124
244.114	5518
245.09453	9038
246.09647	2255
246.14471	4177
247.10725	8363
247.1431	8673
249.09825	20925
249.12238	3134
250.0833	8358
250.12044	3647
250.6161	4505
251.11922	2589
251.14932	4529
252.08003	23325
252.10873	67376
252.13551	4428
253.09589	8676
254.12779	12065
255.10777	5570
256.108	7360
256.13065	5014
257.12491	17489
257.1604	53516
258.1438	76984
259.14728	11103
260.06982	74912
261.07236	9261
261.13483	1947
261.15955	3048
262.06689	3222
262.09445	2455
262.12097	4044
265.09479	2656
265.11639	4592
266.07681	3589
267.07977	5649
267.10849	72729
267.60892	2095
268.10242	15386
268.60168	8823
269.1066	116718
269.15616	10457
270.10992	11403
271.10358	6839
271.13995	16866
272.10703	46756
272.13623	9937
273.11032	2575
273.1347	24385
274.13513	4215
275.17123	33419
276.1749	5893
276.61407	28100
277.11545	8592
278.08011	84567
278.11108	4960
278.6637	7171
279.08203	8602
279.10999	3267
279.16739	3345
280.09787	3172
280.13034	3784
281.09113	6880
282.09241	2360
282.12036	32074
283.10364	57905
283.13846	6978
284.10565	16150
284.13547	2985
285.12766	38450
285.15738	3792
285.62827	15403
287.14954	11001
289.15665	4108
290.11691	21568
290.61093	5440
291.11267	4306
291.14236	7194
294.14594	2516
295.1011	11248
295.17767	3045
296.10684	2213
296.13443	6241
296.1969	4624
297.11884	11413
298.11813	106762
299.12161	35967
299.62576	7963
300.13019	87756
301.13025	53300
302.09778	2297
302.13016	11494
304.17612	2943
307.63745	10368
308.13968	4845
309.12125	7537
309.62399	5380
310.11731	5270
311.17404	21059
312.16669	66684
313.13007	6139
313.16849	12611
314.11469	3459
314.14636	8715
315.14456	139792
316.09534	4826
316.14761	24182
317.15439	8290
317.63434	33392
318.13623	13185
319.14273	2725
320.10486	14607
320.13596	30845
321.1398	3649
322.14697	2057
322.18744	6985
323.11392	3045
323.17142	15931
323.20584	4566
324.19025	6593
325.12863	4983
325.65619	3933
326.14819	64051
326.64923	31169
327.14453	10496
327.20178	2428
328.16702	2477
329.19302	351089
330.19586	61413
331.10519	2652
331.14264	29624
331.20001	10131
332.13821	2920
332.1723	7979
333.15085	2387
334.14542	13860
334.66098	34527
335.16269	14336
335.19888	2342
335.65979	4428
336.16528	5180
337.1142	2974
337.15063	22383
338.10974	3566
338.14694	42823
338.6756	12143
339.16663	281630
340.13989	9558
340.17224	54257
341.12637	14829
341.18167	11943
341.21884	7152
342.14084	10520
343.17484	5766
343.67142	3341
348.13031	6179
348.65958	3851
349.11453	10545
349.15475	29325
350.11639	2929
350.15973	5617
351.6687	5006
352.1304	2227
352.17181	3989
353.19339	6586
354.13623	3526
354.17645	34449
355.13748	3403
355.17691	7700
356.23013	2130
357.17685	61364
357.67331	2733
358.14633	5562
358.17975	5687
358.21298	4996
359.09378	3548
359.13849	73982
359.18784	5946
360.13907	11092
361.13895	10268
362.14862	3019
364.16956	3053
365.15552	7431
365.19403	5909
366.13907	31912
367.14008	84534
368.14337	17475
368.17764	11634
369.18619	4914
370.1434	4123
371.15695	15336
371.20331	10523
372.14694	1790
373.14468	5005
373.18948	5295
374.15179	3892
375.16745	11550
376.12643	4363
376.21896	114520
377.14694	28143
377.22009	22878
377.67172	3435
378.15045	4435
378.6713	7271
379.14536	4778
379.20993	5716
380.13583	9864
380.18698	3465
381.14938	3991
381.19193	12601
382.17255	31880
383.16949	20921
384.16971	12282
385.17346	2166
385.68695	2574
386.1973	2480
386.68964	3705
387.13391	4206
387.1795	10445
389.1243	3662
389.16919	9027
391.11316	4009
391.16458	4626
391.67252	2868
392.12262	5814
392.16843	3593
393.147	5807
394.13287	10149
395.69504	13275
396.20367	10026
397.15567	10425
397.68884	3850
398.14764	71957
399.1506	15157
399.19858	35646
399.68274	4317
400.14789	3189
400.19754	7667
401.19604	2558
402.17575	11028
403.22162	3721
403.72101	2215
404.12125	3096
404.20972	3810
405.22305	3848
406.20203	15370
406.70218	6475
407.13849	13921
407.23026	11389
408.23825	3594
409.15018	25768
410.12674	5078
410.17859	19434
411.16019	31076
412.2034	19513
413.20468	4403
414.21295	2939
415.16873	32834
416.17294	8315
417.18954	2458
419.20456	8312
420.20142	13925
420.70013	4258
421.15021	7894
422.21744	13860
423.23026	8574
423.71146	3092
424.16068	5356
424.25668	16152
425.1478	4197
425.20026	2892
425.25711	3929
426.1803	22253
427.21094	9555
428.18759	12510
429.18457	5314
430.17502	6474
431.72827	20651
432.18173	4317
432.23767	14524
432.72253	7163
433.21912	5300
435.22363	4659
436.22784	10084
437.19934	4072
438.17957	7486
439.24207	64702
440.22815	79524
441.18692	14295
441.23108	13644
442.1929	4682
443.20636	54013
444.21088	12252
