     Humira 10ul excl 2.raw  #41233  RT: 123.0770 min	
"     FTMS, 657.3193@hcd29.00, z=+5, Mono m/z=657.31927 Da, MH+=3282.56727 Da, Match Tol.=0.05 Da"	
m/z	Intensity [counts]
225.09773	5030
225.12132	2026
225.16048	3412
226.08232	62641
226.10365	5463
226.15445	6436
227.08501	6326
227.1389	4089
228.13414	8141
228.16988	2747
229.13647	2520
231.06024	7381
231.11292	9035
233.1416	3758
233.16464	9533
234.1237	33222
234.14441	6460
235.10614	15017
235.12735	11294
235.14525	1970
237.13501	3018
238.11832	8903
239.11803	2862
240.09593	2478
240.13397	3642
241.11143	3570
242.14954	4218
242.18483	3082
243.08485	4600
243.10866	77530
244.08992	11201
244.11195	8523
244.16455	2539
245.09454	2824
246.18111	21398
247.1076	3594
247.14485	2503
248.11143	4122
249.09737	12248
249.12352	20512
250.10204	5523
250.13824	2526
251.10645	15582
251.15012	109419
252.10699	4559
252.15364	48061
253.15451	8913
254.14972	5921
255.14555	4244
256.12897	39217
256.16843	2927
257.13101	14967
257.15692	3465
258.13434	2976
258.16028	4591
260.19675	12874
261.15958	10083
262.11884	3010
263.10226	23169
264.10553	4483
264.13248	4097
265.1301	3795
266.12198	43661
266.15027	19624
267.12561	16255
267.15173	3849
268.12924	4461
268.17679	3167
269.10623	7340
269.18329	5567
270.14496	3888
270.18759	3427
272.15884	32313
273.15555	17763
274.11923	6296
274.15802	5595
274.18689	32594
275.1904	3211
276.14758	2850
277.63388	2071
279.09723	10659
279.14413	12226
280.09967	3860
280.12872	10561
282.15363	3624
282.18265	3180
283.10776	4333
283.13907	40622
284.13977	8273
284.16064	9643
285.1214	3530
285.15372	3988
286.15744	3619
288.13419	7416
292.12805	6836
293.12985	2600
293.15997	6721
294.11945	2730
296.15106	4611
296.19684	5644
297.15445	7281
297.19693	3054
299.16714	23547
299.66745	7484
300.12152	2993
300.16757	12813
301.14975	83672
301.1759	4123
302.1134	15382
302.15317	37553
303.11621	8158
303.15646	12518
306.14383	8098
307.14081	8776
308.12399	9078
309.1243	3465
309.15607	8455
311.13394	3545
314.20831	11213
315.20767	6281
318.17715	153510
319.17966	78990
320.18234	19523
323.20712	5009
324.14502	9219
325.15012	13523
325.18564	4392
327.16577	5173
329.14307	3040
335.17239	2292
337.18414	2323
338.18494	2670
340.14316	8094
340.18506	3068
341.14624	3161
341.18414	2556
342.17746	27885
343.18042	4990
350.13156	8725
350.2178	6896
351.22119	2526
355.19727	3006
359.26559	11542
360.121	3121
360.26999	3026
363.13968	14002
364.14825	15196
364.68457	11665
365.14609	4231
365.18634	7126
370.24454	4248
371.22751	4964
