     Humira 10ul excl 1.raw  #39322  RT: 117.5242 min	
306.18472	5756
309.1196	8157
309.15536	7958
310.103	62656
310.21268	9530
311.1055	6244
311.1716	8616
313.15152	13238
313.18665	7283
315.12976	26908
316.11359	227202
316.15073	14558
316.18713	10887
317.11414	29154
317.14871	45850
318.14639	12961
319.14468	14443
321.15881	8792
323.13489	24265
323.1702	8406
324.12329	7998
325.11551	7057
325.18771	17552
327.13229	28231
327.16788	20619
328.11288	100746
329.11664	18008
329.18158	12102
329.2178	8863
330.09396	7923
331.16354	5717
334.14011	12484
334.17645	33197
335.13916	8940
335.17813	6254
337.1521	8849
338.09833	11147
338.13287	14324
340.12589	6445
340.16248	12469
341.14526	57299
341.18283	24794
342.12918	260557
343.13144	81516
343.19827	22241
344.13721	25684
344.19745	12233
345.13849	10955
345.17587	6050
346.12354	43426
347.13379	6248
347.22958	11784
348.22864	7629
350.14572	18385
351.1319	22268
351.16925	10435
353.14978	39205
353.18134	42433
354.13287	20792
354.18512	11010
355.12354	12922
355.16061	17224
355.19727	8154
356.10886	26140
357.21237	11656
358.17444	16539
359.15561	38108
359.19278	22002
360.15558	11199
361.14536	13029
364.1517	18659
367.16849	7137
368.15579	121393
368.19601	10143
369.17398	26221
370.17255	19699
371.15433	19456
371.19312	58092
372.14172	33996
372.1955	13433
373.13602	13419
374.11887	6732
376.16058	43900
377.16974	6515
378.17496	9905
379.16153	42135
380.15378	8408
380.19672	13217
381.13742	58928
381.17468	8116
382.14035	11019
383.22794	6485
385.20438	7300
386.1669	108471
387.18964	88265
388.1907	16501
389.16425	20302
390.16037	6564
391.16913	6835
395.19604	9857
396.19116	106479
397.19522	15676
398.20432	19378
399.15073	202861
399.20218	10004
400.15161	49686
400.19501	6091
401.1535	8037
403.19608	7209
404.17664	41238
405.17618	11234
406.16711	9013
407.15527	12976
407.23083	6209
411.15775	6985
413.20654	52797
414.20212	49884
415.18289	32421
416.21304	25912
417.16183	146604
417.21899	19989
418.16241	36898
418.21298	46446
420.19168	5388
421.17322	5689
422.15579	13112
422.2045	18768
423.19662	7513
424.18427	11693
425.16483	56870
426.16531	16954
426.2717	11212
427.14706	20443
428.13052	8439
429.17722	8535
433.17188	7777
434.16736	6092
435.23447	235925
436.18311	10484
436.23615	50145
439.23038	22915
440.21051	48339
441.19864	56518
442.19577	68977
443.1741	40594
444.17813	19858
444.28174	119065
445.15717	13196
445.24008	7801
445.2872	71811
446.28799	16173
447.18954	7678
449.21396	10581
450.24258	9511
452.17355	42064
453.15585	60950
454.16077	29160
455.17035	10442
457.24011	23322
458.2251	46994
459.22998	10890
460.20346	43140
461.20499	7777
462.19299	7846
466.26825	10265
467.22476	171832
468.22531	34603
470.18713	140272
471.19385	44755
475.25241	19396
476.20972	9715
477.21039	6414
479.17786	15856
484.23251	12599
485.23547	123395
486.23785	29867
487.18939	13050
488.19678	218604
489.19574	47037
490.19577	10865
495.25754	11086
498.21927	32314
500.21719	9373
501.20532	9255
503.24554	33897
504.25076	11178
505.20688	27188
506.20331	12365
507.21506	11017
511.24719	5357
512.23724	21181
513.24072	11833
514.21661	18562
514.30005	7770
514.71552	9949
516.20789	25111
517.19556	10225
522.21533	7890
522.72009	9674
523.21649	19183
524.22919	40669
525.23761	21889
526.19501	11070
527.1983	6099
527.29169	6692
527.79089	11112
529.20435	6134
531.31628	36962
532.24493	12299
532.31885	20444
533.24219	7684
533.31726	7810
534.23309	9439
535.22186	11407
537.28925	6040
538.28522	9084
539.22156	8857
539.2937	10754
540.2793	8471
541.26373	13698
542.25244	27902
543.24908	13927
544.20276	13721
545.20856	7070
547.21558	7672
550.25116	20025
551.25018	20546
552.229	28782
553.23505	15148
556.31427	8128
559.27313	16030
560.27032	15346
561.25146	5783
562.21259	16457
563.21948	9957
566.29736	32904
569.25677	48948
570.25574	14661
570.75751	15105
571.24872	6509
578.29913	5198
579.76202	6927
580.22803	9037
582.30371	131239
583.30786	51494
584.30804	45362
585.21423	6170
585.30701	10981
587.26715	83418
588.25842	15278
591.24371	9107
592.28607	12047
593.27789	8000
595.27539	21149
596.27856	8884
599.27863	8557
602.31891	16023
603.26489	6922
604.26282	6290
606.24658	21842
607.25446	8407
611.26752	5523
611.77167	6604
612.27271	14453
612.776	15402
613.2934	26887
614.22107	6739
617.27686	5253
618.34943	37827
619.35071	27760
620.34973	9377
620.77838	28002
621.27734	39306
621.78326	22519
622.28278	20921
623.27417	12505
627.25708	6665
629.27258	6491
629.78424	6590
630.2865	25031
630.78613	14368
631.26935	6640
633.25104	14262
634.25665	6475
635.28943	7087
645.26538	18471
646.26874	7931
647.29163	7204
648.27673	5356
649.25262	12516
650.2605	6967
651.26373	20568
652.2652	11574
661.29089	11437
662.29291	7929
663.28027	15513
664.28217	14695
665.27917	8117
673.26868	7142
675.31415	8944
677.3233	12004
677.82825	9894
678.32349	13092
679.25745	26901
679.33301	19944
680.25964	13119
681.28198	20085
682.29236	14879
687.30542	12732
688.30505	8182
691.27094	10545
696.34619	209275
697.35236	78241
698.34076	9709
700.3255	9493
701.33392	7448
705.3183	20135
706.30963	15237
709.27832	9033
711.34564	9645
712.35675	14433
713.31799	13283
717.29492	6168
723.34552	7284
729.36652	7076
729.85754	7918
731.43317	12028
732.3233	21606
732.43671	9764
733.31555	9914
735.30688	8006
736.32178	9471
744.32721	7110
746.3382	6436
750.32837	34559
751.32166	9799
760.29449	11881
761.30902	12171
764.32129	7066
776.34204	14090
777.34552	8305
778.31177	47605
778.8963	9668
779.3031	17158
780.31531	13473
782.328	7879
788.45392	55000
789.45679	56892
790.4552	28147
791.45435	7899
793.36169	52040
794.36261	23206
795.34497	9997
796.3114	39126
797.3103	36946
798.32135	15216
800.36426	7805
801.36615	10039
805.36621	9491
810.38867	491909
810.8894	11198
811.39136	223258
812.39337	33782
814.33093	10382
821.36353	18004
829.3703	8103
830.35699	7652
831.375	8228
833.37964	7906
843.3576	11181
844.34113	12704
847.36011	8641
848.36823	13653
849.37048	12820
850.37329	9943
860.4118	13385
860.91522	20413
861.35803	14498
862.35693	12427
863.39063	9047
864.36609	7937
869.36517	7553
870.40283	11434
872.42847	15905
878.39124	12857
879.3598	14407
880.37189	9637
885.41211	9587
887.39148	10428
892.42499	30480
892.92102	39796
893.41742	15338
899.49591	17835
900.48572	27320
903.41205	9276
906.4328	19280
907.4397	13533
909.39661	8744
910.4212	12371
913.40192	9141
916.50977	17903
917.5144	24121
918.51379	8621
923.4743	329870
924.47711	173216
925.47864	29389
926.37872	22771
927.38379	15305
932.422	10448
933.43567	11917
934.43591	15801
935.44415	13171
939.40814	11172
941.44556	9335
941.95526	18451
942.45062	45451
942.95709	19391
943.38885	18367
944.39124	20495
945.40247	20017
946.39148	12753
950.4223	9423
953.96552	20311
954.45575	13335
958.45721	9591
960.43237	9779
961.44031	10202
968.44409	9980
971.4574	9128
974.43896	19503
975.42267	9160
976.43433	13409
977.45734	11579
980.46088	13594
988.43066	9510
988.96222	10034
989.46979	16240
990.43488	8761
991.47485	21396
991.98688	35308
992.46802	27140
995.42841	10762
996.44263	14818
997.44312	12653
999.46399	13556
1008.42542	26557
1009.42468	24355
1010.42981	25075
1011.43744	19273
1019.51794	13559
1021.50568	17036
1021.98846	14266
1023.47461	13927
1026.41724	53192
1026.9823	11765
1027.42249	58489
1028.422	44645
1029.42517	15550
1030.01477	40545
1030.50977	80715
1030.99988	41964
1031.49219	15021
1035.00159	14450
1035.50208	34844
1035.9884	12424
1036.5614	195646
1037.56775	112832
1038.55371	26285
1044.4342	20857
1045.43884	26762
1046.44897	23048
1047.44055	9026
1049.48389	11548
1053.54187	20069
1054.55945	25063
1055.15979	18671
1055.49609	32522
1055.81189	34940
1056.17334	14707
1071.01599	10453
1071.50696	22106
1076.47595	14511
1077.50769	22643
1078.49915	12339
1084.5249	10413
1085.02832	27892
1085.51111	22651
1086.00488	14562
1086.50171	16032
1087.47925	12602
1091.85046	21029
1092.18555	30574
1092.52087	36778
1092.84229	22474
1094.49329	13921
1096.48889	13093
1101.48279	10774
1103.02148	28128
1103.52673	45902
1104.02759	17264
1104.49756	16425
1110.48767	13849
1111.54102	57968
1112.04272	113703
1112.53833	78442
1113.03357	33082
1114.02124	9054
1114.49329	9497
1120.0509	9783
1120.5459	27156
1121.05273	18900
1121.5304	20627
1122.4928	14757
1123.49536	20643
1124.99622	11489
1131.00061	9639
1131.99207	10920
1132.50818	10146
1133.48926	11604
1135.53479	14023
1136.53357	11917
1138.53174	11893
1139.52356	22458
1140.5188	27291
1141.51453	26157
1154.58716	24571
1155.61157	27308
1156.63062	28148
1158.52002	23394
1159.51355	15534
1161.53992	13122
1162.57239	12507
1171.0835	28819
1171.54797	66747
1172.54041	50646
1173.53137	13207
1176.55261	17212
1177.521	13013
1180.02979	11402
1180.53943	17560
1181.52649	16981
1184.56836	35270
1185.06604	54704
1185.53979	37025
1186.047	55896
1186.5343	38945
1187.53064	22024
1188.526	14131
1189.03052	20989
1193.07983	57040
1193.57434	200152
1194.07312	102092
1194.57935	52005
1195.05725	15871
1195.56079	25543
1196.54663	12148
1199.56653	11941
1203.54797	11476
1204.64417	13094
1206.56299	15298
1216.54871	17723
1217.54224	19713
1222.54297	19179
1223.5354	33233
1224.54688	22411
1225.56323	19538
1228.58191	12462
1233.55981	23845
1234.10669	17245
1234.57251	26512
1235.08447	23673
1235.58435	59556
1236.08435	28958
1236.56873	15087
1238.59741	18128
1240.54932	33225
1241.55103	60600
1242.59021	76056
1243.10828	110699
1243.58435	63385
1244.10107	17233
1249.60425	16496
1258.56775	21073
1259.56665	26955
1260.58118	20857
1265.52551	29477
1266.52649	19645
1269.5929	18025
1270.11218	17471
1270.60608	41598
1271.60303	29119
1272.5929	17714
1274.07141	12208
1275.60083	17869
1276.10938	22523
1276.59802	22435
1277.10242	11963
1278.11536	20476
1278.62842	61257
1279.12219	34825
1285.11316	17534
1285.61523	19280
1299.59497	14777
1308.59314	12657
1311.60486	27113
1312.59521	20014
1313.60876	13410
1314.61975	11154
1317.60718	13692
1318.1084	17837
1326.6366	40419
1327.12463	35073
1327.62537	34573
1328.11865	21341
1328.6394	42082
1329.13098	48439
1329.62512	25214
1330.62073	14511
1342.60083	14915
1351.60083	13242
1352.10352	17655
1352.61267	19039
1353.63367	14721
1354.62732	14416
1361.11609	15169
1361.64514	34112
1362.15259	44294
1362.65869	48828
1363.14673	44447
1363.64368	24535
1364.15186	17027
1369.66199	17849
1377.58899	20399
1378.5968	25859
1386.66223	39155
1387.16052	36003
1411.1637	14940
1411.67407	25910
1412.17688	25067
1412.67908	27650
1449.6488	18955
1451.66064	15294
1456.69287	16731
1457.70007	48134
1458.69983	48107
1459.68066	27466
1468.66833	15995
1469.18896	22294
1469.69983	36608
1470.19385	29067
1470.6554	25670
1500.65906	15666
1509.69336	13136
1527.73792	15810
1533.71167	22501
1534.20837	22309
1534.69666	20284
1539.71338	16143
1556.76099	34600
1557.7887	30627
1558.77319	17420
1573.73132	23453
1574.22412	18185
1574.72632	16897
1575.72437	25077
1581.72534	26106
1582.24121	54039
1582.73865	100434
1583.23621	99002
1583.73291	55245
1584.23096	12398
1620.77405	35560
1621.7627	49417
1622.75989	18243
1638.75488	18335
1655.78625	16126
1656.78333	18200
1706.87061	24786
1707.88074	35993
1719.83459	34638
1720.82935	44576
1736.7749	14339
1742.85449	23241
1743.86499	20358
1754.80042	19310
1755.80566	19038
1772.8407	59877
1773.84741	97572
1774.84473	34957
1783.81677	48972
1784.83521	76382
1785.81323	37689
1786.83899	14775
1788.83459	18429
1814.86609	19811
1865.849	20311
1866.8573	18210
1882.90552	60503
1883.89771	107820
1884.88184	44595
1905.91553	23001
1906.91821	32111
1954.91003	20254
1981.92786	28197
1982.9657	53945
1983.9303	19784
2052.98682	17414
2053.97949	17389
2058.99194	18806
2060.0166	39288
2060.96655	20240
2069.99707	30606
2222.04102	17705
2223.03687	27373
2224.05127	15221
