     Humira 10ul excl 1.raw  #39322  RT: 117.5242 min	
"     FTMS, 991.7961@hcd29.00, z=+3, Mono m/z=991.79608 Da, MH+=2973.37369 Da, Match Tol.=0.05 Da"	
m/z	Intensity [counts]
207.11287	76414
208.10989	22656
209.09221	34859
209.10909	7336
210.08786	14612
211.06979	5170
212.06752	5512
212.10258	23018
212.13878	27938
213.12257	14165
214.08257	12699
215.10355	16084
215.1254	5492
215.13902	55485
216.09842	13573
216.14323	6893
217.08121	140911
217.09755	13027
218.08359	11696
218.11339	22802
218.14963	80168
221.12856	7551
223.10695	7836
224.10229	11623
224.13896	6755
225.12288	19674
225.14304	6359
226.08318	5951
226.11935	26268
227.04909	5727
227.06683	65448
227.1022	96119
227.1382	29413
228.09749	226436
228.13354	9522
229.09613	27480
229.11945	6963
230.11282	8726
230.15051	39771
231.11275	16261
231.153	11595
232.09256	6172
233.09262	8351
235.10777	77968
235.14384	73977
236.10913	16763
236.14642	15705
237.1244	5401
239.11362	12528
240.13498	35068
242.11334	49481
242.1496	91477
243.1532	18597
244.09227	20949
244.12955	39583
245.07635	93608
245.12683	11023
246.08276	8284
246.10818	158512
247.08479	6268
247.11002	19051
248.16035	154783
248.18465	12163
249.09816	9223
249.12187	16410
249.16232	38947
250.12048	8209
250.16487	8546
252.09741	12188
252.13382	25971
253.13844	6734
254.11411	29372
254.15114	27124
255.05949	4545
255.11629	10624
255.14534	140569
256.09198	7678
256.12766	13015
257.11337	9406
258.14505	10036
260.12378	21070
261.16211	6563
263.10284	4659
263.11465	5503
263.13968	50063
264.10474	5869
264.13901	7991
266.12381	20609
266.14966	12802
270.10818	246518
270.14441	128291
271.10852	28483
271.14279	67914
271.17221	9382
272.12314	25530
272.17206	478855
273.11966	13549
273.17542	56756
274.11865	24891
275.1203	8781
278.11426	6995
280.09293	21565
280.12576	8624
280.1662	17125
281.09668	4780
281.12384	25227
282.1105	7689
282.1441	14385
283.14539	9002
284.13165	9099
284.16037	43193
285.12	7630
285.16299	12235
286.14304	5979
286.17184	6057
287.14078	7335
287.17215	19568
288.11938	171250
288.15491	23012
289.1178	18719
289.1543	27022
292.09338	11095
292.12991	10331
294.1445	5354
295.13855	15309
297.11908	22807
298.10376	39609
298.14151	11899
298.17502	91786
299.10254	12266
299.13638	180138
299.17566	30147
300.15128	12593
302.17059	15473
303.17706	33827
304.12881	16236
304.18173	13419
305.18164	32883
306.14426	10463
